,om/om0,Max_energy
0,0.8,4.978262356613606
1,0.8285714285714286,4.99603946565624
2,0.8571428571428572,5.026303998663838
3,0.8857142857142857,5.082442114550224
4,0.9142857142857143,5.204371751775957
5,0.9428571428571428,5.548377404568156
6,0.9714285714285714,7.202324274391061
7,1.0,19.731645140133477
8,1.0,19.731645140133477
9,1.0285714285714285,7.275218924038385
10,1.0571428571428572,5.639649416908095
11,1.0857142857142856,5.2740162531889485
12,1.1142857142857143,5.137273208808232
13,1.1428571428571428,5.071244730639942
14,1.1714285714285713,5.034171224897292
15,1.2,5.01108235925995
