t, H, V, T, P
0.000e+00, 1.368213e+03,-1.251e+03, 9.727e+02, 0.000e+00
1.000e-02, 1.368212e+03,-1.241e+03, 9.692e+02, 0.000e+00
2.000e-02, 1.368206e+03,-1.210e+03, 9.575e+02, 0.000e+00
3.000e-02, 1.368196e+03,-1.150e+03, 9.353e+02, 0.000e+00
4.000e-02, 1.368183e+03,-1.051e+03, 8.985e+02, 0.000e+00
5.000e-02, 1.368174e+03,-9.000e+02, 8.424e+02, 0.000e+00
6.000e-02, 1.368186e+03,-6.952e+02, 7.664e+02, 0.000e+00
7.000e-02, 1.368219e+03,-4.664e+02, 6.814e+02, 0.000e+00
8.000e-02, 1.368248e+03,-2.695e+02, 6.083e+02, 0.000e+00
9.000e-02, 1.368255e+03,-1.507e+02, 5.642e+02, 0.000e+00
1.000e-01, 1.368241e+03,-1.219e+02, 5.535e+02, 0.000e+00
1.100e-01, 1.368218e+03,-1.590e+02, 5.672e+02, 0.000e+00
1.200e-01, 1.368202e+03,-2.233e+02, 5.911e+02, 0.000e+00
1.300e-01, 1.368198e+03,-2.854e+02, 6.142e+02, 0.000e+00
1.400e-01, 1.368200e+03,-3.328e+02, 6.318e+02, 0.000e+00
1.500e-01, 1.368207e+03,-3.651e+02, 6.438e+02, 0.000e+00
1.600e-01, 1.368214e+03,-3.895e+02, 6.528e+02, 0.000e+00
1.700e-01, 1.368215e+03,-4.141e+02, 6.620e+02, 0.000e+00
1.800e-01, 1.368211e+03,-4.403e+02, 6.717e+02, 0.000e+00
1.900e-01, 1.368208e+03,-4.617e+02, 6.797e+02, 0.000e+00
2.000e-01, 1.368208e+03,-4.731e+02, 6.839e+02, 0.000e+00
2.100e-01, 1.368212e+03,-4.746e+02, 6.845e+02, 0.000e+00
2.200e-01, 1.368218e+03,-4.723e+02, 6.836e+02, 0.000e+00
2.300e-01, 1.368220e+03,-4.743e+02, 6.843e+02, 0.000e+00
2.400e-01, 1.368218e+03,-4.841e+02, 6.880e+02, 0.000e+00
2.500e-01, 1.368217e+03,-4.986e+02, 6.933e+02, 0.000e+00
2.600e-01, 1.368218e+03,-5.146e+02, 6.993e+02, 0.000e+00
2.700e-01, 1.368218e+03,-5.311e+02, 7.054e+02, 0.000e+00
2.800e-01, 1.368218e+03,-5.461e+02, 7.110e+02, 0.000e+00
2.900e-01, 1.368220e+03,-5.586e+02, 7.156e+02, 0.000e+00
3.000e-01, 1.368221e+03,-5.698e+02, 7.198e+02, 0.000e+00
3.100e-01, 1.368222e+03,-5.807e+02, 7.238e+02, 0.000e+00
3.200e-01, 1.368221e+03,-5.910e+02, 7.277e+02, 0.000e+00
3.300e-01, 1.368221e+03,-5.995e+02, 7.308e+02, 0.000e+00
3.400e-01, 1.368221e+03,-6.051e+02, 7.329e+02, 0.000e+00
3.500e-01, 1.368222e+03,-6.080e+02, 7.340e+02, 0.000e+00
3.600e-01, 1.368224e+03,-6.095e+02, 7.345e+02, 0.000e+00
3.700e-01, 1.368225e+03,-6.115e+02, 7.353e+02, 0.000e+00
3.800e-01, 1.368225e+03,-6.148e+02, 7.365e+02, 0.000e+00
3.900e-01, 1.368224e+03,-6.184e+02, 7.379e+02, 0.000e+00
4.000e-01, 1.368224e+03,-6.210e+02, 7.388e+02, 0.000e+00
4.100e-01, 1.368224e+03,-6.216e+02, 7.390e+02, 0.000e+00
4.200e-01, 1.368225e+03,-6.200e+02, 7.384e+02, 0.000e+00
4.300e-01, 1.368225e+03,-6.165e+02, 7.372e+02, 0.000e+00
4.400e-01, 1.368226e+03,-6.120e+02, 7.355e+02, 0.000e+00
4.500e-01, 1.368227e+03,-6.076e+02, 7.338e+02, 0.000e+00
4.600e-01, 1.368227e+03,-6.044e+02, 7.327e+02, 0.000e+00
4.700e-01, 1.368227e+03,-6.026e+02, 7.320e+02, 0.000e+00
4.800e-01, 1.368226e+03,-6.012e+02, 7.315e+02, 0.000e+00
4.900e-01, 1.368225e+03,-5.986e+02, 7.305e+02, 0.000e+00
5.000e-01, 1.368226e+03,-5.938e+02, 7.287e+02, 0.000e+00
5.100e-01, 1.368226e+03,-5.870e+02, 7.262e+02, 0.000e+00
5.200e-01, 1.368227e+03,-5.788e+02, 7.232e+02, 0.000e+00
5.300e-01, 1.368228e+03,-5.704e+02, 7.200e+02, 0.000e+00
5.400e-01, 1.368228e+03,-5.626e+02, 7.171e+02, 0.000e+00
5.500e-01, 1.368228e+03,-5.560e+02, 7.147e+02, 0.000e+00
5.600e-01, 1.368228e+03,-5.504e+02, 7.126e+02, 0.000e+00
5.700e-01, 1.368228e+03,-5.456e+02, 7.108e+02, 0.000e+00
5.800e-01, 1.368227e+03,-5.410e+02, 7.091e+02, 0.000e+00
5.900e-01, 1.368227e+03,-5.361e+02, 7.073e+02, 0.000e+00
6.000e-01, 1.368227e+03,-5.301e+02, 7.051e+02, 0.000e+00
6.100e-01, 1.368227e+03,-5.229e+02, 7.024e+02, 0.000e+00
6.200e-01, 1.368228e+03,-5.144e+02, 6.992e+02, 0.000e+00
6.300e-01, 1.368228e+03,-5.054e+02, 6.959e+02, 0.000e+00
6.400e-01, 1.368229e+03,-4.968e+02, 6.927e+02, 0.000e+00
6.500e-01, 1.368230e+03,-4.896e+02, 6.900e+02, 0.000e+00
6.600e-01, 1.368230e+03,-4.846e+02, 6.881e+02, 0.000e+00
6.700e-01, 1.368229e+03,-4.816e+02, 6.871e+02, 0.000e+00
6.800e-01, 1.368229e+03,-4.804e+02, 6.866e+02, 0.000e+00
6.900e-01, 1.368229e+03,-4.801e+02, 6.865e+02, 0.000e+00
7.000e-01, 1.368228e+03,-4.801e+02, 6.865e+02, 0.000e+00
7.100e-01, 1.368228e+03,-4.797e+02, 6.863e+02, 0.000e+00
7.200e-01, 1.368228e+03,-4.786e+02, 6.859e+02, 0.000e+00
7.300e-01, 1.368228e+03,-4.766e+02, 6.852e+02, 0.000e+00
7.400e-01, 1.368228e+03,-4.735e+02, 6.841e+02, 0.000e+00
7.500e-01, 1.368228e+03,-4.696e+02, 6.826e+02, 0.000e+00
7.600e-01, 1.368229e+03,-4.646e+02, 6.807e+02, 0.000e+00
7.700e-01, 1.368229e+03,-4.589e+02, 6.786e+02, 0.000e+00
7.800e-01, 1.368229e+03,-4.525e+02, 6.762e+02, 0.000e+00
7.900e-01, 1.368229e+03,-4.454e+02, 6.736e+02, 0.000e+00
8.000e-01, 1.368229e+03,-4.380e+02, 6.708e+02, 0.000e+00
8.100e-01, 1.368229e+03,-4.303e+02, 6.680e+02, 0.000e+00
8.200e-01, 1.368229e+03,-4.226e+02, 6.651e+02, 0.000e+00
8.300e-01, 1.368229e+03,-4.152e+02, 6.624e+02, 0.000e+00
8.400e-01, 1.368230e+03,-4.084e+02, 6.599e+02, 0.000e+00
8.500e-01, 1.368230e+03,-4.024e+02, 6.576e+02, 0.000e+00
8.600e-01, 1.368230e+03,-3.972e+02, 6.557e+02, 0.000e+00
8.700e-01, 1.368229e+03,-3.928e+02, 6.541e+02, 2.866e-01
8.800e-01, 1.368229e+03,-3.885e+02, 6.525e+02, 1.052e+00
8.900e-01, 1.368229e+03,-3.839e+02, 6.508e+02, 1.791e+00
9.000e-01, 1.368229e+03,-3.791e+02, 6.490e+02, 2.486e+00
9.100e-01, 1.368229e+03,-3.741e+02, 6.471e+02, 3.119e+00
9.200e-01, 1.368229e+03,-3.688e+02, 6.452e+02, 3.675e+00
9.300e-01, 1.368229e+03,-3.635e+02, 6.432e+02, 4.139e+00
9.400e-01, 1.368229e+03,-3.584e+02, 6.413e+02, 4.501e+00
9.500e-01, 1.368229e+03,-3.536e+02, 6.395e+02, 4.750e+00
9.600e-01, 1.368229e+03,-3.492e+02, 6.379e+02, 4.882e+00
9.700e-01, 1.368229e+03,-3.454e+02, 6.364e+02, 4.892e+00
9.800e-01, 1.368229e+03,-3.421e+02, 6.352e+02, 4.780e+00
9.900e-01, 1.368229e+03,-3.392e+02, 6.342e+02, 4.549e+00
1.000e+00, 1.368229e+03,-3.368e+02, 6.333e+02, 4.206e+00
1.010e+00, 1.368229e+03,-3.346e+02, 6.324e+02, 3.757e+00
1.020e+00, 1.368229e+03,-3.324e+02, 6.316e+02, 3.215e+00
1.030e+00, 1.368229e+03,-3.301e+02, 6.308e+02, 2.594e+00
1.040e+00, 1.368229e+03,-3.275e+02, 6.298e+02, 1.908e+00
1.050e+00, 1.368229e+03,-3.244e+02, 6.287e+02, 1.174e+00
1.060e+00, 1.368229e+03,-3.209e+02, 6.274e+02, 4.118e-01
1.070e+00, 1.368230e+03,-3.170e+02, 6.259e+02, 0.000e+00
1.080e+00, 1.368230e+03,-3.134e+02, 6.246e+02, 0.000e+00
1.090e+00, 1.368230e+03,-3.103e+02, 6.234e+02, 0.000e+00
1.100e+00, 1.368230e+03,-3.076e+02, 6.224e+02, 0.000e+00
1.110e+00, 1.368230e+03,-3.052e+02, 6.215e+02, 0.000e+00
1.120e+00, 1.368229e+03,-3.031e+02, 6.208e+02, 0.000e+00
1.130e+00, 1.368229e+03,-3.011e+02, 6.200e+02, 0.000e+00
1.140e+00, 1.368229e+03,-2.993e+02, 6.193e+02, 0.000e+00
1.150e+00, 1.368229e+03,-2.974e+02, 6.186e+02, 0.000e+00
1.160e+00, 1.368229e+03,-2.956e+02, 6.180e+02, 0.000e+00
1.170e+00, 1.368229e+03,-2.939e+02, 6.173e+02, 0.000e+00
1.180e+00, 1.368229e+03,-2.922e+02, 6.167e+02, 0.000e+00
1.190e+00, 1.368229e+03,-2.905e+02, 6.161e+02, 0.000e+00
1.200e+00, 1.368229e+03,-2.888e+02, 6.154e+02, 0.000e+00
1.210e+00, 1.368229e+03,-2.871e+02, 6.148e+02, 0.000e+00
1.220e+00, 1.368229e+03,-2.853e+02, 6.141e+02, 0.000e+00
1.230e+00, 1.368229e+03,-2.834e+02, 6.134e+02, 0.000e+00
1.240e+00, 1.368229e+03,-2.814e+02, 6.127e+02, 0.000e+00
1.250e+00, 1.368229e+03,-2.794e+02, 6.120e+02, 0.000e+00
1.260e+00, 1.368229e+03,-2.773e+02, 6.112e+02, 0.000e+00
1.270e+00, 1.368229e+03,-2.750e+02, 6.103e+02, 0.000e+00
1.280e+00, 1.368229e+03,-2.726e+02, 6.094e+02, 0.000e+00
1.290e+00, 1.368229e+03,-2.701e+02, 6.085e+02, 0.000e+00
1.300e+00, 1.368229e+03,-2.675e+02, 6.075e+02, 0.000e+00
1.310e+00, 1.368229e+03,-2.648e+02, 6.065e+02, 0.000e+00
1.320e+00, 1.368229e+03,-2.621e+02, 6.055e+02, 0.000e+00
1.330e+00, 1.368230e+03,-2.593e+02, 6.045e+02, 0.000e+00
1.340e+00, 1.368230e+03,-2.566e+02, 6.035e+02, 0.000e+00
1.350e+00, 1.368230e+03,-2.540e+02, 6.025e+02, 0.000e+00
1.360e+00, 1.368230e+03,-2.516e+02, 6.016e+02, 0.000e+00
1.370e+00, 1.368230e+03,-2.494e+02, 6.008e+02, 0.000e+00
1.380e+00, 1.368230e+03,-2.473e+02, 6.000e+02, 0.000e+00
1.390e+00, 1.368230e+03,-2.454e+02, 5.993e+02, 0.000e+00
1.400e+00, 1.368228e+03,-2.435e+02, 5.986e+02, 4.630e-01
1.410e+00, 1.368228e+03,-2.406e+02, 5.975e+02, 1.432e+00
1.420e+00, 1.368228e+03,-2.366e+02, 5.961e+02, 2.365e+00
1.430e+00, 1.368229e+03,-2.317e+02, 5.942e+02, 3.239e+00
1.440e+00, 1.368229e+03,-2.261e+02, 5.922e+02, 4.033e+00
1.450e+00, 1.368229e+03,-2.202e+02, 5.900e+02, 4.726e+00
1.460e+00, 1.368229e+03,-2.144e+02, 5.878e+02, 5.301e+00
1.470e+00, 1.368230e+03,-2.090e+02, 5.858e+02, 5.744e+00
1.480e+00, 1.368230e+03,-2.043e+02, 5.841e+02, 6.043e+00
1.490e+00, 1.368230e+03,-2.007e+02, 5.827e+02, 6.192e+00
1.500e+00, 1.368230e+03,-1.983e+02, 5.818e+02, 6.187e+00
1.510e+00, 1.368230e+03,-1.971e+02, 5.814e+02, 6.027e+00
1.520e+00, 1.368230e+03,-1.972e+02, 5.814e+02, 5.717e+00
1.530e+00, 1.368230e+03,-1.983e+02, 5.818e+02, 5.265e+00
1.540e+00, 1.368229e+03,-2.003e+02, 5.826e+02, 4.681e+00
1.550e+00, 1.368229e+03,-2.028e+02, 5.835e+02, 3.980e+00
1.560e+00, 1.368229e+03,-2.054e+02, 5.845e+02, 3.180e+00
1.570e+00, 1.368229e+03,-2.078e+02, 5.853e+02, 2.301e+00
1.580e+00, 1.368227e+03,-2.094e+02, 5.859e+02, 1.774e+00
1.590e+00, 1.368227e+03,-2.092e+02, 5.859e+02, 1.689e+00
1.600e+00, 1.368227e+03,-2.072e+02, 5.851e+02, 2.149e+00
1.610e+00, 1.368227e+03,-2.041e+02, 5.840e+02, 3.502e+00
1.620e+00, 1.368227e+03,-1.992e+02, 5.822e+02, 5.734e+00
1.630e+00, 1.368227e+03,-1.926e+02, 5.797e+02, 7.839e+00
1.640e+00, 1.368227e+03,-1.847e+02, 5.768e+02, 1.033e+01
1.650e+00, 1.368228e+03,-1.755e+02, 5.733e+02, 1.283e+01
1.660e+00, 1.368228e+03,-1.658e+02, 5.697e+02, 1.502e+01
1.670e+00, 1.368229e+03,-1.565e+02, 5.663e+02, 1.683e+01
1.680e+00, 1.368227e+03,-1.484e+02, 5.633e+02, 1.840e+01
1.690e+00, 1.368227e+03,-1.411e+02, 5.606e+02, 2.056e+01
1.700e+00, 1.368228e+03,-1.344e+02, 5.581e+02, 2.221e+01
1.710e+00, 1.368228e+03,-1.289e+02, 5.561e+02, 2.331e+01
1.720e+00, 1.368228e+03,-1.251e+02, 5.546e+02, 2.384e+01
1.730e+00, 1.368228e+03,-1.230e+02, 5.539e+02, 2.377e+01
1.740e+00, 1.368228e+03,-1.229e+02, 5.538e+02, 2.312e+01
1.750e+00, 1.368228e+03,-1.245e+02, 5.544e+02, 2.191e+01
1.760e+00, 1.368227e+03,-1.274e+02, 5.555e+02, 2.016e+01
1.770e+00, 1.368225e+03,-1.306e+02, 5.567e+02, 1.889e+01
1.780e+00, 1.368226e+03,-1.329e+02, 5.575e+02, 1.771e+01
1.790e+00, 1.368226e+03,-1.347e+02, 5.582e+02, 1.655e+01
1.800e+00, 1.368225e+03,-1.360e+02, 5.587e+02, 1.506e+01
1.810e+00, 1.368226e+03,-1.365e+02, 5.589e+02, 1.461e+01
1.820e+00, 1.368226e+03,-1.371e+02, 5.591e+02, 1.414e+01
1.830e+00, 1.368226e+03,-1.376e+02, 5.593e+02, 1.345e+01
1.840e+00, 1.368226e+03,-1.382e+02, 5.595e+02, 1.337e+01
1.850e+00, 1.368226e+03,-1.392e+02, 5.599e+02, 1.312e+01
1.860e+00, 1.368225e+03,-1.399e+02, 5.602e+02, 1.255e+01
1.870e+00, 1.368225e+03,-1.403e+02, 5.603e+02, 1.168e+01
1.880e+00, 1.368228e+03,-1.402e+02, 5.602e+02, 1.086e+01
1.890e+00, 1.368228e+03,-1.409e+02, 5.605e+02, 1.068e+01
1.900e+00, 1.368228e+03,-1.430e+02, 5.613e+02, 1.025e+01
1.910e+00, 1.368227e+03,-1.464e+02, 5.625e+02, 9.584e+00
1.920e+00, 1.368227e+03,-1.509e+02, 5.642e+02, 8.699e+00
1.930e+00, 1.368227e+03,-1.561e+02, 5.662e+02, 7.613e+00
1.940e+00, 1.368226e+03,-1.615e+02, 5.682e+02, 6.351e+00
1.950e+00, 1.368225e+03,-1.660e+02, 5.698e+02, 5.468e+00
1.960e+00, 1.368222e+03,-1.676e+02, 5.704e+02, 5.554e+00
1.970e+00, 1.368223e+03,-1.641e+02, 5.691e+02, 6.661e+00
1.980e+00, 1.368223e+03,-1.556e+02, 5.660e+02, 8.432e+00
1.990e+00, 1.368224e+03,-1.430e+02, 5.613e+02, 9.994e+00
2.000e+00, 1.368227e+03,-1.281e+02, 5.558e+02, 1.153e+01
2.010e+00, 1.368229e+03,-1.151e+02, 5.509e+02, 1.329e+01
2.020e+00, 1.368229e+03,-1.070e+02, 5.479e+02, 1.473e+01
2.030e+00, 1.368226e+03,-1.037e+02, 5.467e+02, 1.632e+01
2.040e+00, 1.368226e+03,-1.024e+02, 5.462e+02, 1.789e+01
