t, H, V, T, P
0.000e+00, -1.250660e+03,-1.251e+03, 0.000e+00, 0.000e+00
1.000e-02, -1.250660e+03,-1.251e+03, 6.247e-03, 0.000e+00
2.000e-02, -1.250660e+03,-1.251e+03, 2.495e-02, 0.000e+00
3.000e-02, -1.250660e+03,-1.251e+03, 5.601e-02, 0.000e+00
4.000e-02, -1.250660e+03,-1.251e+03, 9.925e-02, 0.000e+00
5.000e-02, -1.250660e+03,-1.251e+03, 1.544e-01, 0.000e+00
6.000e-02, -1.250660e+03,-1.251e+03, 2.212e-01, 0.000e+00
7.000e-02, -1.250660e+03,-1.251e+03, 2.993e-01, 0.000e+00
8.000e-02, -1.250660e+03,-1.252e+03, 3.882e-01, 0.000e+00
9.000e-02, -1.250660e+03,-1.252e+03, 4.874e-01, 0.000e+00
1.000e-01, -1.250660e+03,-1.252e+03, 5.964e-01, 0.000e+00
1.100e-01, -1.250660e+03,-1.253e+03, 7.146e-01, 0.000e+00
1.200e-01, -1.250660e+03,-1.253e+03, 8.412e-01, 0.000e+00
1.300e-01, -1.250660e+03,-1.253e+03, 9.758e-01, 0.000e+00
1.400e-01, -1.250660e+03,-1.254e+03, 1.117e+00, 0.000e+00
1.500e-01, -1.250660e+03,-1.254e+03, 1.265e+00, 0.000e+00
1.600e-01, -1.250660e+03,-1.254e+03, 1.419e+00, 0.000e+00
1.700e-01, -1.250660e+03,-1.255e+03, 1.577e+00, 0.000e+00
1.800e-01, -1.250660e+03,-1.255e+03, 1.739e+00, 0.000e+00
1.900e-01, -1.250660e+03,-1.256e+03, 1.904e+00, 0.000e+00
2.000e-01, -1.250660e+03,-1.256e+03, 2.072e+00, 0.000e+00
2.100e-01, -1.250660e+03,-1.257e+03, 2.241e+00, 0.000e+00
2.200e-01, -1.250660e+03,-1.257e+03, 2.410e+00, 0.000e+00
2.300e-01, -1.250660e+03,-1.258e+03, 2.580e+00, 0.000e+00
2.400e-01, -1.250660e+03,-1.258e+03, 2.748e+00, 0.000e+00
2.500e-01, -1.250660e+03,-1.259e+03, 2.914e+00, 0.000e+00
2.600e-01, -1.250660e+03,-1.259e+03, 3.079e+00, 0.000e+00
2.700e-01, -1.250660e+03,-1.259e+03, 3.239e+00, 0.000e+00
2.800e-01, -1.250660e+03,-1.260e+03, 3.397e+00, 0.000e+00
2.900e-01, -1.250660e+03,-1.260e+03, 3.550e+00, 0.000e+00
3.000e-01, -1.250660e+03,-1.261e+03, 3.698e+00, 0.000e+00
3.100e-01, -1.250660e+03,-1.261e+03, 3.840e+00, 0.000e+00
3.200e-01, -1.250660e+03,-1.261e+03, 3.977e+00, 0.000e+00
3.300e-01, -1.250660e+03,-1.262e+03, 4.108e+00, 0.000e+00
3.400e-01, -1.250660e+03,-1.262e+03, 4.232e+00, 0.000e+00
3.500e-01, -1.250660e+03,-1.262e+03, 4.349e+00, 0.000e+00
3.600e-01, -1.250660e+03,-1.263e+03, 4.459e+00, 0.000e+00
3.700e-01, -1.250660e+03,-1.263e+03, 4.562e+00, 0.000e+00
3.800e-01, -1.250660e+03,-1.263e+03, 4.657e+00, 0.000e+00
3.900e-01, -1.250660e+03,-1.263e+03, 4.745e+00, 0.000e+00
4.000e-01, -1.250660e+03,-1.264e+03, 4.824e+00, 0.000e+00
4.100e-01, -1.250660e+03,-1.264e+03, 4.895e+00, 0.000e+00
4.200e-01, -1.250660e+03,-1.264e+03, 4.958e+00, 0.000e+00
4.300e-01, -1.250660e+03,-1.264e+03, 5.013e+00, 0.000e+00
4.400e-01, -1.250660e+03,-1.264e+03, 5.059e+00, 0.000e+00
4.500e-01, -1.250660e+03,-1.264e+03, 5.096e+00, 0.000e+00
4.600e-01, -1.250660e+03,-1.264e+03, 5.124e+00, 0.000e+00
4.700e-01, -1.250660e+03,-1.265e+03, 5.144e+00, 0.000e+00
4.800e-01, -1.250660e+03,-1.265e+03, 5.154e+00, 0.000e+00
4.900e-01, -1.250660e+03,-1.265e+03, 5.155e+00, 0.000e+00
5.000e-01, -1.250660e+03,-1.265e+03, 5.146e+00, 0.000e+00
5.100e-01, -1.250660e+03,-1.264e+03, 5.128e+00, 0.000e+00
5.200e-01, -1.250660e+03,-1.264e+03, 5.100e+00, 0.000e+00
5.300e-01, -1.250660e+03,-1.264e+03, 5.062e+00, 0.000e+00
5.400e-01, -1.250660e+03,-1.264e+03, 5.015e+00, 0.000e+00
5.500e-01, -1.250660e+03,-1.264e+03, 4.958e+00, 0.000e+00
5.600e-01, -1.250660e+03,-1.264e+03, 4.892e+00, 0.000e+00
5.700e-01, -1.250660e+03,-1.264e+03, 4.816e+00, 0.000e+00
5.800e-01, -1.250660e+03,-1.263e+03, 4.732e+00, 0.000e+00
5.900e-01, -1.250660e+03,-1.263e+03, 4.639e+00, 0.000e+00
6.000e-01, -1.250660e+03,-1.263e+03, 4.538e+00, 0.000e+00
6.100e-01, -1.250660e+03,-1.263e+03, 4.430e+00, 0.000e+00
6.200e-01, -1.250660e+03,-1.262e+03, 4.315e+00, 0.000e+00
6.300e-01, -1.250660e+03,-1.262e+03, 4.194e+00, 0.000e+00
6.400e-01, -1.250660e+03,-1.262e+03, 4.068e+00, 0.000e+00
6.500e-01, -1.250660e+03,-1.261e+03, 3.938e+00, 0.000e+00
6.600e-01, -1.250660e+03,-1.261e+03, 3.805e+00, 0.000e+00
6.700e-01, -1.250660e+03,-1.261e+03, 3.670e+00, 0.000e+00
6.800e-01, -1.250660e+03,-1.260e+03, 3.535e+00, 0.000e+00
6.900e-01, -1.250660e+03,-1.260e+03, 3.400e+00, 0.000e+00
7.000e-01, -1.250660e+03,-1.259e+03, 3.267e+00, 0.000e+00
7.100e-01, -1.250660e+03,-1.259e+03, 3.136e+00, 0.000e+00
7.200e-01, -1.250660e+03,-1.259e+03, 3.009e+00, 0.000e+00
7.300e-01, -1.250660e+03,-1.258e+03, 2.887e+00, 0.000e+00
7.400e-01, -1.250660e+03,-1.258e+03, 2.770e+00, 0.000e+00
7.500e-01, -1.250660e+03,-1.258e+03, 2.660e+00, 0.000e+00
7.600e-01, -1.250660e+03,-1.258e+03, 2.557e+00, 0.000e+00
7.700e-01, -1.250660e+03,-1.257e+03, 2.461e+00, 0.000e+00
7.800e-01, -1.250660e+03,-1.257e+03, 2.373e+00, 0.000e+00
7.900e-01, -1.250660e+03,-1.257e+03, 2.293e+00, 0.000e+00
8.000e-01, -1.250660e+03,-1.257e+03, 2.222e+00, 0.000e+00
8.100e-01, -1.250660e+03,-1.256e+03, 2.160e+00, 0.000e+00
8.200e-01, -1.250660e+03,-1.256e+03, 2.106e+00, 0.000e+00
8.300e-01, -1.250660e+03,-1.256e+03, 2.061e+00, 0.000e+00
8.400e-01, -1.250660e+03,-1.256e+03, 2.025e+00, 0.000e+00
8.500e-01, -1.250660e+03,-1.256e+03, 1.998e+00, 0.000e+00
8.600e-01, -1.250660e+03,-1.256e+03, 1.980e+00, 0.000e+00
8.700e-01, -1.250660e+03,-1.256e+03, 1.970e+00, 0.000e+00
8.800e-01, -1.250660e+03,-1.256e+03, 1.969e+00, 0.000e+00
8.900e-01, -1.250660e+03,-1.256e+03, 1.976e+00, 0.000e+00
9.000e-01, -1.250660e+03,-1.256e+03, 1.991e+00, 0.000e+00
9.100e-01, -1.250660e+03,-1.256e+03, 2.014e+00, 0.000e+00
9.200e-01, -1.250660e+03,-1.256e+03, 2.045e+00, 0.000e+00
9.300e-01, -1.250660e+03,-1.256e+03, 2.084e+00, 0.000e+00
9.400e-01, -1.250660e+03,-1.256e+03, 2.130e+00, 0.000e+00
9.500e-01, -1.250660e+03,-1.257e+03, 2.184e+00, 0.000e+00
9.600e-01, -1.250660e+03,-1.257e+03, 2.245e+00, 0.000e+00
9.700e-01, -1.250660e+03,-1.257e+03, 2.313e+00, 0.000e+00
9.800e-01, -1.250660e+03,-1.257e+03, 2.388e+00, 0.000e+00
9.900e-01, -1.250660e+03,-1.257e+03, 2.469e+00, 0.000e+00
1.000e+00, -1.250660e+03,-1.258e+03, 2.557e+00, 0.000e+00
1.010e+00, -1.250660e+03,-1.258e+03, 2.652e+00, 0.000e+00
1.020e+00, -1.250660e+03,-1.258e+03, 2.752e+00, 0.000e+00
1.030e+00, -1.250660e+03,-1.258e+03, 2.857e+00, 0.000e+00
1.040e+00, -1.250660e+03,-1.259e+03, 2.968e+00, 0.000e+00
1.050e+00, -1.250660e+03,-1.259e+03, 3.083e+00, 0.000e+00
1.060e+00, -1.250660e+03,-1.259e+03, 3.202e+00, 0.000e+00
1.070e+00, -1.250660e+03,-1.260e+03, 3.324e+00, 0.000e+00
1.080e+00, -1.250660e+03,-1.260e+03, 3.448e+00, 0.000e+00
1.090e+00, -1.250660e+03,-1.260e+03, 3.573e+00, 0.000e+00
1.100e+00, -1.250660e+03,-1.261e+03, 3.700e+00, 0.000e+00
1.110e+00, -1.250660e+03,-1.261e+03, 3.825e+00, 0.000e+00
1.120e+00, -1.250660e+03,-1.261e+03, 3.949e+00, 0.000e+00
1.130e+00, -1.250660e+03,-1.262e+03, 4.070e+00, 0.000e+00
