t, H, V, T, P
0.000e+00, -6.692932e+02,-6.693e+02, 0.000e+00, 0.000e+00
1.000e-02, -6.692932e+02,-6.693e+02, 6.351e-03, 0.000e+00
2.000e-02, -6.692932e+02,-6.693e+02, 2.536e-02, 0.000e+00
3.000e-02, -6.692932e+02,-6.694e+02, 5.692e-02, 0.000e+00
4.000e-02, -6.692932e+02,-6.695e+02, 1.008e-01, 0.000e+00
5.000e-02, -6.692932e+02,-6.695e+02, 1.568e-01, 0.000e+00
6.000e-02, -6.692932e+02,-6.696e+02, 2.245e-01, 0.000e+00
7.000e-02, -6.692932e+02,-6.698e+02, 3.035e-01, 0.000e+00
8.000e-02, -6.692932e+02,-6.699e+02, 3.933e-01, 0.000e+00
9.000e-02, -6.692932e+02,-6.701e+02, 4.934e-01, 0.000e+00
1.000e-01, -6.692932e+02,-6.702e+02, 6.030e-01, 0.000e+00
1.100e-01, -6.692932e+02,-6.704e+02, 7.216e-01, 0.000e+00
1.200e-01, -6.692932e+02,-6.706e+02, 8.484e-01, 0.000e+00
1.300e-01, -6.692932e+02,-6.708e+02, 9.826e-01, 0.000e+00
1.400e-01, -6.692932e+02,-6.710e+02, 1.123e+00, 0.000e+00
1.500e-01, -6.692932e+02,-6.713e+02, 1.270e+00, 0.000e+00
1.600e-01, -6.692932e+02,-6.715e+02, 1.421e+00, 0.000e+00
1.700e-01, -6.692932e+02,-6.717e+02, 1.576e+00, 0.000e+00
1.800e-01, -6.692932e+02,-6.720e+02, 1.733e+00, 0.000e+00
1.900e-01, -6.692932e+02,-6.722e+02, 1.893e+00, 0.000e+00
2.000e-01, -6.692932e+02,-6.725e+02, 2.053e+00, 0.000e+00
2.100e-01, -6.692932e+02,-6.727e+02, 2.213e+00, 0.000e+00
2.200e-01, -6.692932e+02,-6.730e+02, 2.372e+00, 0.000e+00
2.300e-01, -6.692932e+02,-6.732e+02, 2.529e+00, 0.000e+00
2.400e-01, -6.692932e+02,-6.735e+02, 2.683e+00, 0.000e+00
2.500e-01, -6.692932e+02,-6.737e+02, 2.833e+00, 0.000e+00
2.600e-01, -6.692932e+02,-6.739e+02, 2.978e+00, 0.000e+00
2.700e-01, -6.692932e+02,-6.741e+02, 3.117e+00, 0.000e+00
2.800e-01, -6.692932e+02,-6.744e+02, 3.249e+00, 0.000e+00
2.900e-01, -6.692932e+02,-6.746e+02, 3.374e+00, 0.000e+00
3.000e-01, -6.692932e+02,-6.747e+02, 3.491e+00, 0.000e+00
3.100e-01, -6.692932e+02,-6.749e+02, 3.600e+00, 0.000e+00
3.200e-01, -6.692932e+02,-6.751e+02, 3.699e+00, 0.000e+00
3.300e-01, -6.692932e+02,-6.752e+02, 3.788e+00, 0.000e+00
3.400e-01, -6.692932e+02,-6.753e+02, 3.867e+00, 0.000e+00
3.500e-01, -6.692932e+02,-6.754e+02, 3.936e+00, 0.000e+00
3.600e-01, -6.692932e+02,-6.755e+02, 3.994e+00, 0.000e+00
3.700e-01, -6.692932e+02,-6.756e+02, 4.040e+00, 0.000e+00
3.800e-01, -6.692932e+02,-6.756e+02, 4.075e+00, 0.000e+00
3.900e-01, -6.692932e+02,-6.757e+02, 4.099e+00, 0.000e+00
4.000e-01, -6.692932e+02,-6.757e+02, 4.111e+00, 0.000e+00
4.100e-01, -6.692932e+02,-6.757e+02, 4.111e+00, 0.000e+00
4.200e-01, -6.692932e+02,-6.757e+02, 4.100e+00, 0.000e+00
4.300e-01, -6.692932e+02,-6.756e+02, 4.078e+00, 0.000e+00
4.400e-01, -6.692932e+02,-6.756e+02, 4.045e+00, 0.000e+00
4.500e-01, -6.692932e+02,-6.755e+02, 4.001e+00, 0.000e+00
4.600e-01, -6.692932e+02,-6.754e+02, 3.947e+00, 0.000e+00
4.700e-01, -6.692932e+02,-6.753e+02, 3.883e+00, 0.000e+00
4.800e-01, -6.692932e+02,-6.752e+02, 3.810e+00, 0.000e+00
4.900e-01, -6.692932e+02,-6.751e+02, 3.728e+00, 0.000e+00
5.000e-01, -6.692932e+02,-6.750e+02, 3.637e+00, 0.000e+00
5.100e-01, -6.692932e+02,-6.748e+02, 3.540e+00, 0.000e+00
5.200e-01, -6.692932e+02,-6.746e+02, 3.436e+00, 0.000e+00
5.300e-01, -6.692932e+02,-6.745e+02, 3.326e+00, 0.000e+00
5.400e-01, -6.692932e+02,-6.743e+02, 3.212e+00, 0.000e+00
5.500e-01, -6.692932e+02,-6.741e+02, 3.094e+00, 0.000e+00
5.600e-01, -6.692932e+02,-6.739e+02, 2.974e+00, 0.000e+00
5.700e-01, -6.692932e+02,-6.737e+02, 2.852e+00, 0.000e+00
5.800e-01, -6.692932e+02,-6.735e+02, 2.730e+00, 0.000e+00
5.900e-01, -6.692932e+02,-6.734e+02, 2.608e+00, 0.000e+00
6.000e-01, -6.692932e+02,-6.732e+02, 2.489e+00, 0.000e+00
6.100e-01, -6.692932e+02,-6.730e+02, 2.372e+00, 0.000e+00
6.200e-01, -6.692932e+02,-6.728e+02, 2.260e+00, 0.000e+00
6.300e-01, -6.692932e+02,-6.726e+02, 2.152e+00, 0.000e+00
6.400e-01, -6.692932e+02,-6.725e+02, 2.050e+00, 0.000e+00
6.500e-01, -6.692932e+02,-6.723e+02, 1.955e+00, 0.000e+00
6.600e-01, -6.692932e+02,-6.722e+02, 1.868e+00, 0.000e+00
6.700e-01, -6.692932e+02,-6.721e+02, 1.789e+00, 0.000e+00
6.800e-01, -6.692932e+02,-6.720e+02, 1.719e+00, 0.000e+00
6.900e-01, -6.692932e+02,-6.719e+02, 1.658e+00, 0.000e+00
7.000e-01, -6.692932e+02,-6.718e+02, 1.606e+00, 0.000e+00
7.100e-01, -6.692932e+02,-6.717e+02, 1.565e+00, 0.000e+00
7.200e-01, -6.692932e+02,-6.717e+02, 1.534e+00, 0.000e+00
7.300e-01, -6.692932e+02,-6.717e+02, 1.513e+00, 0.000e+00
7.400e-01, -6.692932e+02,-6.716e+02, 1.502e+00, 0.000e+00
7.500e-01, -6.692932e+02,-6.716e+02, 1.501e+00, 0.000e+00
7.600e-01, -6.692932e+02,-6.716e+02, 1.511e+00, 0.000e+00
7.700e-01, -6.692932e+02,-6.717e+02, 1.530e+00, 0.000e+00
7.800e-01, -6.692932e+02,-6.717e+02, 1.559e+00, 0.000e+00
7.900e-01, -6.692932e+02,-6.718e+02, 1.597e+00, 0.000e+00
8.000e-01, -6.692932e+02,-6.719e+02, 1.643e+00, 0.000e+00
8.100e-01, -6.692932e+02,-6.719e+02, 1.698e+00, 0.000e+00
8.200e-01, -6.692932e+02,-6.720e+02, 1.761e+00, 0.000e+00
8.300e-01, -6.692932e+02,-6.721e+02, 1.832e+00, 0.000e+00
8.400e-01, -6.692932e+02,-6.723e+02, 1.909e+00, 0.000e+00
8.500e-01, -6.692932e+02,-6.724e+02, 1.993e+00, 0.000e+00
8.600e-01, -6.692932e+02,-6.725e+02, 2.082e+00, 0.000e+00
8.700e-01, -6.692932e+02,-6.727e+02, 2.176e+00, 0.000e+00
8.800e-01, -6.692932e+02,-6.728e+02, 2.275e+00, 0.000e+00
8.900e-01, -6.692932e+02,-6.730e+02, 2.378e+00, 0.000e+00
9.000e-01, -6.692932e+02,-6.732e+02, 2.483e+00, 0.000e+00
9.100e-01, -6.692932e+02,-6.733e+02, 2.590e+00, 0.000e+00
9.200e-01, -6.692932e+02,-6.735e+02, 2.699e+00, 0.000e+00
9.300e-01, -6.692932e+02,-6.737e+02, 2.807e+00, 0.000e+00
9.400e-01, -6.692932e+02,-6.738e+02, 2.915e+00, 0.000e+00
9.500e-01, -6.692932e+02,-6.740e+02, 3.022e+00, 0.000e+00
9.600e-01, -6.692932e+02,-6.742e+02, 3.125e+00, 0.000e+00
9.700e-01, -6.692932e+02,-6.743e+02, 3.226e+00, 0.000e+00
9.800e-01, -6.692932e+02,-6.745e+02, 3.322e+00, 0.000e+00
9.900e-01, -6.692932e+02,-6.746e+02, 3.412e+00, 0.000e+00
1.000e+00, -6.692932e+02,-6.747e+02, 3.497e+00, 0.000e+00
1.010e+00, -6.692932e+02,-6.749e+02, 3.574e+00, 0.000e+00
1.020e+00, -6.692932e+02,-6.750e+02, 3.644e+00, 0.000e+00
1.030e+00, -6.692932e+02,-6.751e+02, 3.705e+00, 0.000e+00
1.040e+00, -6.692932e+02,-6.751e+02, 3.758e+00, 0.000e+00
1.050e+00, -6.692932e+02,-6.752e+02, 3.802e+00, 0.000e+00
1.060e+00, -6.692932e+02,-6.753e+02, 3.836e+00, 0.000e+00
1.070e+00, -6.692932e+02,-6.753e+02, 3.861e+00, 0.000e+00
1.080e+00, -6.692932e+02,-6.753e+02, 3.876e+00, 0.000e+00
1.090e+00, -6.692932e+02,-6.753e+02, 3.881e+00, 0.000e+00
1.100e+00, -6.692932e+02,-6.753e+02, 3.877e+00, 0.000e+00
1.110e+00, -6.692932e+02,-6.753e+02, 3.864e+00, 0.000e+00
1.120e+00, -6.692932e+02,-6.753e+02, 3.842e+00, 0.000e+00
1.130e+00, -6.692932e+02,-6.752e+02, 3.812e+00, 0.000e+00
1.140e+00, -6.692932e+02,-6.752e+02, 3.773e+00, 0.000e+00
1.150e+00, -6.692932e+02,-6.751e+02, 3.728e+00, 0.000e+00
1.160e+00, -6.692932e+02,-6.750e+02, 3.675e+00, 0.000e+00
1.170e+00, -6.692932e+02,-6.749e+02, 3.617e+00, 0.000e+00
1.180e+00, -6.692932e+02,-6.748e+02, 3.553e+00, 0.000e+00
1.190e+00, -6.692932e+02,-6.747e+02, 3.484e+00, 0.000e+00
1.200e+00, -6.692932e+02,-6.746e+02, 3.412e+00, 0.000e+00
1.210e+00, -6.692932e+02,-6.745e+02, 3.335e+00, 0.000e+00
1.220e+00, -6.692932e+02,-6.744e+02, 3.256e+00, 0.000e+00
1.230e+00, -6.692932e+02,-6.742e+02, 3.175e+00, 0.000e+00
1.240e+00, -6.692932e+02,-6.741e+02, 3.092e+00, 0.000e+00
1.250e+00, -6.692932e+02,-6.740e+02, 3.008e+00, 0.000e+00
1.260e+00, -6.692932e+02,-6.738e+02, 2.924e+00, 0.000e+00
1.270e+00, -6.692932e+02,-6.737e+02, 2.839e+00, 0.000e+00
1.280e+00, -6.692932e+02,-6.736e+02, 2.755e+00, 0.000e+00
1.290e+00, -6.692932e+02,-6.735e+02, 2.671e+00, 0.000e+00
1.300e+00, -6.692932e+02,-6.733e+02, 2.589e+00, 0.000e+00
1.310e+00, -6.692932e+02,-6.732e+02, 2.508e+00, 0.000e+00
1.320e+00, -6.692932e+02,-6.731e+02, 2.428e+00, 0.000e+00
1.330e+00, -6.692932e+02,-6.730e+02, 2.351e+00, 0.000e+00
1.340e+00, -6.692932e+02,-6.728e+02, 2.276e+00, 0.000e+00
1.350e+00, -6.692932e+02,-6.727e+02, 2.203e+00, 0.000e+00
1.360e+00, -6.692932e+02,-6.726e+02, 2.132e+00, 0.000e+00
1.370e+00, -6.692932e+02,-6.725e+02, 2.065e+00, 0.000e+00
1.380e+00, -6.692932e+02,-6.724e+02, 2.000e+00, 0.000e+00
1.390e+00, -6.692932e+02,-6.723e+02, 1.937e+00, 0.000e+00
1.400e+00, -6.692932e+02,-6.722e+02, 1.878e+00, 0.000e+00
1.410e+00, -6.692932e+02,-6.721e+02, 1.822e+00, 0.000e+00
1.420e+00, -6.692932e+02,-6.720e+02, 1.768e+00, 0.000e+00
1.430e+00, -6.692932e+02,-6.720e+02, 1.718e+00, 0.000e+00
1.440e+00, -6.692932e+02,-6.719e+02, 1.670e+00, 0.000e+00
1.450e+00, -6.692932e+02,-6.718e+02, 1.625e+00, 0.000e+00
1.460e+00, -6.692932e+02,-6.718e+02, 1.584e+00, 0.000e+00
1.470e+00, -6.692932e+02,-6.717e+02, 1.545e+00, 0.000e+00
1.480e+00, -6.692932e+02,-6.716e+02, 1.509e+00, 0.000e+00
1.490e+00, -6.692932e+02,-6.716e+02, 1.477e+00, 0.000e+00
1.500e+00, -6.692932e+02,-6.715e+02, 1.447e+00, 0.000e+00
1.510e+00, -6.692932e+02,-6.715e+02, 1.420e+00, 0.000e+00
1.520e+00, -6.692932e+02,-6.715e+02, 1.397e+00, 0.000e+00
1.530e+00, -6.692932e+02,-6.714e+02, 1.376e+00, 0.000e+00
1.540e+00, -6.692932e+02,-6.714e+02, 1.359e+00, 0.000e+00
1.550e+00, -6.692932e+02,-6.714e+02, 1.344e+00, 0.000e+00
1.560e+00, -6.692932e+02,-6.714e+02, 1.333e+00, 0.000e+00
1.570e+00, -6.692932e+02,-6.714e+02, 1.324e+00, 0.000e+00
1.580e+00, -6.692932e+02,-6.713e+02, 1.319e+00, 0.000e+00
1.590e+00, -6.692932e+02,-6.713e+02, 1.316e+00, 0.000e+00
1.600e+00, -6.692932e+02,-6.713e+02, 1.317e+00, 0.000e+00
1.610e+00, -6.692932e+02,-6.714e+02, 1.321e+00, 0.000e+00
1.620e+00, -6.692932e+02,-6.714e+02, 1.327e+00, 0.000e+00
1.630e+00, -6.692932e+02,-6.714e+02, 1.336e+00, 0.000e+00
1.640e+00, -6.692932e+02,-6.714e+02, 1.348e+00, 0.000e+00
1.650e+00, -6.692932e+02,-6.714e+02, 1.362e+00, 0.000e+00
1.660e+00, -6.692932e+02,-6.714e+02, 1.379e+00, 0.000e+00
1.670e+00, -6.692932e+02,-6.715e+02, 1.398e+00, 0.000e+00
1.680e+00, -6.692932e+02,-6.715e+02, 1.420e+00, 0.000e+00
1.690e+00, -6.692932e+02,-6.715e+02, 1.443e+00, 0.000e+00
1.700e+00, -6.692932e+02,-6.716e+02, 1.468e+00, 0.000e+00
1.710e+00, -6.692932e+02,-6.716e+02, 1.495e+00, 0.000e+00
1.720e+00, -6.692932e+02,-6.717e+02, 1.523e+00, 0.000e+00
1.730e+00, -6.692932e+02,-6.717e+02, 1.553e+00, 0.000e+00
1.740e+00, -6.692932e+02,-6.718e+02, 1.583e+00, 0.000e+00
1.750e+00, -6.692932e+02,-6.718e+02, 1.615e+00, 0.000e+00
1.760e+00, -6.692932e+02,-6.719e+02, 1.647e+00, 0.000e+00
1.770e+00, -6.692932e+02,-6.719e+02, 1.680e+00, 0.000e+00
1.780e+00, -6.692932e+02,-6.720e+02, 1.713e+00, 0.000e+00
1.790e+00, -6.692932e+02,-6.720e+02, 1.746e+00, 0.000e+00
1.800e+00, -6.692932e+02,-6.721e+02, 1.780e+00, 0.000e+00
1.810e+00, -6.692932e+02,-6.721e+02, 1.813e+00, 0.000e+00
1.820e+00, -6.692932e+02,-6.722e+02, 1.846e+00, 0.000e+00
1.830e+00, -6.692932e+02,-6.722e+02, 1.879e+00, 0.000e+00
1.840e+00, -6.692932e+02,-6.723e+02, 1.912e+00, 0.000e+00
1.850e+00, -6.692932e+02,-6.723e+02, 1.945e+00, 0.000e+00
1.860e+00, -6.692932e+02,-6.724e+02, 1.977e+00, 0.000e+00
1.870e+00, -6.692932e+02,-6.724e+02, 2.008e+00, 0.000e+00
1.880e+00, -6.692932e+02,-6.725e+02, 2.039e+00, 0.000e+00
1.890e+00, -6.692932e+02,-6.725e+02, 2.070e+00, 0.000e+00
1.900e+00, -6.692932e+02,-6.726e+02, 2.100e+00, 0.000e+00
1.910e+00, -6.692932e+02,-6.726e+02, 2.130e+00, 0.000e+00
1.920e+00, -6.692932e+02,-6.727e+02, 2.159e+00, 0.000e+00
1.930e+00, -6.692932e+02,-6.727e+02, 2.187e+00, 0.000e+00
1.940e+00, -6.692932e+02,-6.727e+02, 2.214e+00, 0.000e+00
1.950e+00, -6.692932e+02,-6.728e+02, 2.241e+00, 0.000e+00
1.960e+00, -6.692932e+02,-6.728e+02, 2.267e+00, 0.000e+00
1.970e+00, -6.692932e+02,-6.729e+02, 2.293e+00, 0.000e+00
1.980e+00, -6.692932e+02,-6.729e+02, 2.317e+00, 0.000e+00
1.990e+00, -6.692932e+02,-6.729e+02, 2.341e+00, 0.000e+00
2.000e+00, -6.692932e+02,-6.730e+02, 2.364e+00, 0.000e+00
2.010e+00, -6.692932e+02,-6.730e+02, 2.386e+00, 0.000e+00
2.020e+00, -6.692932e+02,-6.730e+02, 2.407e+00, 0.000e+00
2.030e+00, -6.692932e+02,-6.731e+02, 2.427e+00, 0.000e+00
2.040e+00, -6.692932e+02,-6.731e+02, 2.447e+00, 0.000e+00
2.050e+00, -6.692932e+02,-6.731e+02, 2.466e+00, 0.000e+00
